               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11582,            0.046092,            0.056686,           0.0049687,             0.46894,            0.011964,           0.0043679,            0.099689,            0.031779,            0.053936,              0.0928,              0.0008,              0.0008
                   1,             0.10481,            0.054303,            0.055176,           0.0052822,             0.49061,            0.012468,           0.0048367,            0.092486,            0.031021,            0.052082,            0.084699,           0.0016992,           0.0016992
                   2,            0.097399,            0.058221,            0.053454,           0.0059486,              0.5551,            0.029312,            0.011882,            0.084969,            0.030447,              0.0497,            0.076597,           0.0025974,           0.0025974
                   3,            0.088144,            0.065606,            0.050671,            0.006124,             0.61989,            0.072016,            0.031137,             0.08001,            0.029977,            0.047017,            0.068495,           0.0034948,           0.0034948
                   4,            0.079396,            0.062837,            0.048792,             0.70291,            0.033333,             0.10004,            0.047368,             0.07596,            0.030489,            0.044071,            0.060391,           0.0043913,           0.0043913
                   5,            0.073282,             0.06918,            0.045598,             0.51733,             0.11946,             0.12722,            0.068938,            0.075786,            0.032144,            0.041926,            0.052287,           0.0052869,           0.0052869
                   6,            0.073333,            0.063129,            0.042727,             0.49475,             0.18832,            0.097216,            0.032954,            0.079141,            0.032695,            0.038246,            0.044182,           0.0061816,           0.0061816
                   7,            0.066838,            0.067465,            0.038673,             0.69319,             0.20741,             0.21896,            0.094775,            0.073178,            0.035042,            0.034196,            0.036075,           0.0070754,           0.0070754
                   8,             0.06649,            0.068468,             0.03613,             0.68911,             0.14481,             0.11065,            0.045033,            0.076035,            0.035061,            0.031256,            0.027968,           0.0079683,           0.0079683
                   9,            0.066757,            0.066464,            0.034448,             0.63293,             0.16528,             0.12135,            0.053719,            0.076088,             0.03456,            0.030273,             0.01986,           0.0088604,           0.0088604
                  10,            0.067866,            0.065545,            0.033131,             0.53318,             0.18355,             0.15641,            0.076814,            0.080689,            0.032835,            0.029812,            0.011751,           0.0097515,           0.0097515
                  11,            0.067291,            0.063239,            0.031492,             0.44447,             0.23938,             0.12487,            0.036487,            0.077483,            0.033544,             0.02823,           0.0099456,           0.0099456,           0.0099456
                  12,            0.065242,            0.059803,            0.031458,             0.60724,             0.22222,            0.096688,             0.03563,            0.071958,            0.033293,            0.028282,           0.0099456,           0.0099456,           0.0099456
                  13,            0.063311,            0.060598,            0.028757,             0.57567,             0.24861,             0.12013,             0.03113,            0.078887,             0.03164,            0.026789,           0.0099406,           0.0099406,           0.0099406
                  14,            0.062351,            0.065035,             0.02697,             0.28544,             0.35719,             0.13717,            0.042636,            0.074919,            0.032306,            0.024067,           0.0099357,           0.0099357,           0.0099357
                  15,            0.060349,            0.059793,            0.025965,             0.35738,             0.39028,             0.26244,             0.12834,            0.065637,            0.030478,            0.022961,           0.0099307,           0.0099307,           0.0099307
                  16,            0.061159,            0.054249,            0.025345,             0.43537,             0.32827,             0.33758,             0.17578,            0.064846,            0.031142,            0.020708,           0.0099258,           0.0099258,           0.0099258
                  17,            0.057407,            0.060799,            0.022737,             0.47741,             0.41373,             0.31817,             0.15058,            0.064926,            0.030819,            0.019734,           0.0099208,           0.0099208,           0.0099208
                  18,              0.0591,            0.056804,            0.021648,             0.44182,             0.37288,             0.28792,             0.12595,            0.068128,             0.03135,            0.019288,           0.0099159,           0.0099159,           0.0099159
                  19,            0.058254,            0.059788,            0.021999,             0.45041,             0.31095,             0.30346,             0.14359,            0.064588,            0.030941,            0.018686,           0.0099109,           0.0099109,           0.0099109
                  20,            0.053949,            0.058159,            0.020467,              0.4869,             0.39232,             0.32017,             0.14794,             0.06568,            0.031629,            0.017984,            0.009906,            0.009906,            0.009906
                  21,             0.05363,            0.058003,            0.019632,             0.41292,             0.30915,             0.29175,             0.11236,            0.069718,            0.032648,            0.017219,            0.009901,            0.009901,            0.009901
                  22,            0.051365,            0.059552,            0.018044,             0.54686,             0.36214,             0.37114,             0.15812,             0.06446,            0.026779,            0.017116,           0.0098961,           0.0098961,           0.0098961
                  23,            0.049495,            0.052473,            0.017223,             0.61854,              0.4417,             0.44072,             0.21943,            0.060402,            0.026185,            0.017211,           0.0098911,           0.0098911,           0.0098911
                  24,            0.054363,            0.058902,            0.017677,             0.62189,             0.46581,             0.46281,             0.26148,            0.059749,            0.025736,            0.017051,           0.0098861,           0.0098861,           0.0098861
                  25,            0.050359,            0.053749,            0.015979,              0.6793,             0.42866,             0.46144,             0.25563,            0.057165,            0.028013,            0.015571,           0.0098812,           0.0098812,           0.0098812
                  26,            0.054017,            0.053156,            0.015194,              0.6976,              0.4036,             0.43675,             0.24317,            0.056704,            0.027493,            0.016915,           0.0098763,           0.0098763,           0.0098763
                  27,            0.047362,            0.057369,            0.015692,             0.64433,              0.3921,             0.43777,             0.21317,            0.055855,            0.029653,            0.016289,           0.0098713,           0.0098713,           0.0098713
                  28,            0.047183,            0.056554,            0.014732,             0.68986,              0.4232,             0.43139,             0.21905,            0.055935,            0.028961,            0.014664,           0.0098664,           0.0098664,           0.0098664
                  29,            0.048555,            0.053395,            0.012458,             0.74184,             0.45498,             0.44546,             0.24446,            0.056714,             0.02734,              0.0144,           0.0098614,           0.0098614,           0.0098614
                  30,            0.043565,            0.053586,            0.014519,             0.58026,             0.44756,             0.41643,             0.23174,            0.059097,            0.026493,            0.014078,           0.0098565,           0.0098565,           0.0098565
                  31,            0.046351,            0.055106,            0.012607,             0.56737,             0.45454,             0.42284,             0.24498,            0.051989,            0.025476,            0.015093,           0.0098515,           0.0098515,           0.0098515
                  32,             0.04465,            0.056232,            0.011998,             0.54087,             0.44098,             0.43235,             0.25028,              0.0567,            0.025972,            0.012942,           0.0098466,           0.0098466,           0.0098466
                  33,            0.044438,            0.051943,            0.011867,             0.47609,             0.45499,             0.42151,             0.24972,            0.054149,            0.026599,            0.013796,           0.0098416,           0.0098416,           0.0098416
                  34,            0.042886,            0.050679,            0.010827,             0.52951,              0.4467,             0.39992,             0.22101,            0.059047,            0.027482,            0.013353,           0.0098367,           0.0098367,           0.0098367
                  35,            0.045458,            0.054318,             0.01236,              0.5367,             0.39205,             0.44805,             0.26027,            0.050469,            0.026311,            0.013319,           0.0098317,           0.0098317,           0.0098317
                  36,            0.044424,            0.053439,            0.012006,             0.56291,             0.44617,             0.48221,             0.27893,            0.051456,             0.02586,             0.01335,           0.0098268,           0.0098268,           0.0098268
                  37,            0.041401,            0.050675,            0.011535,             0.57026,             0.43743,             0.45189,             0.22806,            0.053988,            0.025784,            0.013636,           0.0098218,           0.0098218,           0.0098218
                  38,            0.041948,            0.054485,            0.010669,             0.50077,             0.35608,             0.42005,             0.21772,            0.056581,            0.025171,            0.012557,           0.0098169,           0.0098169,           0.0098169
                  39,            0.043012,            0.053514,           0.0099308,             0.60254,              0.4525,             0.48804,             0.27237,             0.05082,             0.02567,            0.012574,           0.0098119,           0.0098119,           0.0098119
                  40,            0.042501,            0.048776,           0.0092755,             0.50873,             0.45737,              0.4592,             0.24573,            0.053926,            0.024874,            0.013463,            0.009807,            0.009807,            0.009807
                  41,            0.041609,            0.050891,           0.0091141,             0.51448,              0.4753,             0.44585,              0.2572,            0.052964,            0.024553,            0.013387,            0.009802,            0.009802,            0.009802
                  42,            0.039248,            0.053882,           0.0093041,             0.52488,             0.43038,             0.46668,             0.28796,            0.050667,            0.024683,            0.014312,            0.009797,            0.009797,            0.009797
                  43,             0.04042,            0.052216,           0.0094632,             0.45774,             0.46802,             0.41255,             0.23502,            0.051373,            0.026055,            0.011504,           0.0097921,           0.0097921,           0.0097921
                  44,            0.040782,            0.049466,           0.0084267,             0.48234,             0.46101,             0.43258,             0.23837,             0.05516,            0.025457,            0.010541,           0.0097871,           0.0097871,           0.0097871
                  45,            0.040675,            0.053741,           0.0091812,             0.47852,             0.46575,             0.43116,              0.2205,            0.055622,            0.025768,           0.0098372,           0.0097822,           0.0097822,           0.0097822
                  46,            0.040854,            0.042763,           0.0084591,             0.61256,             0.42596,             0.42492,             0.20492,            0.057377,             0.02518,            0.011336,           0.0097773,           0.0097773,           0.0097773
                  47,            0.038453,            0.049463,            0.008571,             0.59932,             0.44073,             0.40312,             0.24531,             0.06246,            0.027069,            0.014445,           0.0097723,           0.0097723,           0.0097723
                  48,            0.040192,            0.042455,           0.0079732,             0.50193,             0.44284,             0.42204,             0.26557,            0.062829,            0.026522,            0.012236,           0.0097674,           0.0097674,           0.0097674
                  49,            0.044041,            0.046398,           0.0075077,              0.5757,             0.42373,             0.44843,             0.24673,            0.062112,             0.02616,             0.01024,           0.0097624,           0.0097624,           0.0097624
                  50,            0.041652,            0.046654,           0.0075646,             0.55253,              0.4517,             0.48849,             0.27778,            0.057968,            0.028084,           0.0089357,           0.0097575,           0.0097575,           0.0097575
                  51,            0.040834,            0.048673,           0.0082513,             0.50215,             0.50036,             0.47001,             0.28561,            0.053387,            0.027878,           0.0087935,           0.0097525,           0.0097525,           0.0097525
                  52,              0.0377,            0.045517,           0.0063778,             0.47605,             0.47598,             0.43574,             0.23983,            0.055035,            0.026698,           0.0084779,           0.0097476,           0.0097476,           0.0097476
                  53,             0.03614,            0.047679,            0.011244,             0.53877,             0.50533,             0.49012,             0.26524,            0.055348,            0.025959,            0.010265,           0.0097426,           0.0097426,           0.0097426
                  54,            0.040598,            0.048182,           0.0070607,             0.45047,             0.44824,             0.41645,             0.23207,            0.052816,            0.027141,            0.010962,           0.0097377,           0.0097377,           0.0097377
                  55,            0.037194,            0.045125,           0.0087133,             0.52314,             0.43834,             0.47065,             0.27605,            0.050953,            0.025049,           0.0097271,           0.0097327,           0.0097327,           0.0097327
                  56,             0.04027,            0.051856,           0.0072447,             0.48151,             0.46736,             0.42595,             0.24311,            0.049355,            0.025766,           0.0095421,           0.0097278,           0.0097278,           0.0097278
                  57,             0.03933,            0.046174,           0.0073312,             0.41602,             0.46204,             0.40516,             0.21941,            0.050541,            0.026488,            0.010982,           0.0097228,           0.0097228,           0.0097228
                  58,            0.037749,            0.046896,           0.0086496,             0.43706,             0.48231,             0.44523,             0.26188,            0.049854,            0.025423,            0.009154,           0.0097179,           0.0097179,           0.0097179
                  59,             0.03491,            0.047356,           0.0065035,             0.64225,             0.39818,              0.4883,             0.30215,            0.052065,            0.025355,           0.0095591,           0.0097129,           0.0097129,           0.0097129
                  60,            0.037005,            0.045291,           0.0063559,             0.63247,             0.40836,             0.49172,             0.29646,             0.05637,              0.0244,            0.010157,            0.009708,            0.009708,            0.009708
                  61,            0.037802,            0.044087,           0.0078795,             0.67672,               0.402,             0.49317,             0.30291,            0.055877,            0.024731,            0.010905,            0.009703,            0.009703,            0.009703
                  62,            0.034943,            0.046253,            0.010024,             0.61332,             0.48752,             0.51947,             0.30245,            0.056957,            0.025264,            0.010372,            0.009698,            0.009698,            0.009698
                  63,             0.03665,            0.044871,           0.0063852,             0.53284,             0.46933,             0.46767,             0.27058,            0.061405,            0.024797,            0.010743,           0.0096931,           0.0096931,           0.0096931
                  64,            0.036022,             0.04541,           0.0062842,             0.52924,             0.46675,             0.48089,             0.29308,            0.057476,            0.023917,           0.0092579,           0.0096881,           0.0096881,           0.0096881
                  65,            0.035878,            0.046823,           0.0067979,             0.56512,             0.53105,             0.49906,             0.31121,            0.051806,            0.024571,           0.0087692,           0.0096832,           0.0096832,           0.0096832
                  66,            0.033316,            0.044048,           0.0068257,             0.60204,             0.49617,             0.49799,             0.31065,            0.056792,            0.024846,            0.010183,           0.0096783,           0.0096783,           0.0096783
                  67,            0.036772,            0.044456,           0.0063951,             0.55345,               0.481,              0.4859,             0.32294,            0.051825,            0.025564,            0.013018,           0.0096733,           0.0096733,           0.0096733
                  68,            0.036197,            0.050578,           0.0073505,             0.62304,             0.47752,             0.48328,             0.30095,            0.055787,            0.024409,            0.010288,           0.0096684,           0.0096684,           0.0096684
                  69,            0.032844,            0.040127,           0.0054828,             0.51938,             0.50109,              0.4672,             0.27492,             0.05309,            0.024759,            0.011098,           0.0096634,           0.0096634,           0.0096634
                  70,            0.034466,            0.044486,           0.0062737,             0.60819,             0.50659,             0.48607,             0.26042,            0.055052,            0.025351,            0.010281,           0.0096585,           0.0096585,           0.0096585
                  71,            0.036662,            0.046461,             0.00508,             0.54564,             0.48583,             0.47782,             0.30733,            0.049517,            0.024742,            0.010773,           0.0096535,           0.0096535,           0.0096535
                  72,            0.034234,              0.0515,           0.0051284,             0.52084,             0.48613,             0.49039,             0.29396,            0.048493,            0.024601,            0.010306,           0.0096486,           0.0096486,           0.0096486
                  73,             0.03609,            0.045359,           0.0051709,             0.50311,             0.47866,             0.47451,             0.28864,            0.052552,            0.024646,           0.0099749,           0.0096436,           0.0096436,           0.0096436
                  74,            0.034324,              0.0468,           0.0057614,             0.55725,             0.43943,             0.45785,             0.22154,            0.054508,            0.025554,           0.0087452,           0.0096387,           0.0096387,           0.0096387
                  75,            0.035184,            0.046063,           0.0057834,              0.5808,             0.43367,             0.46383,             0.26943,            0.053606,             0.02421,           0.0094457,           0.0096337,           0.0096337,           0.0096337
                  76,            0.034038,            0.050389,           0.0056505,             0.65285,             0.43804,             0.49167,             0.30385,            0.051415,            0.025215,           0.0087014,           0.0096288,           0.0096288,           0.0096288
                  77,            0.034958,            0.048315,           0.0063778,             0.62294,              0.4542,             0.48864,             0.27705,            0.052409,            0.026356,           0.0085085,           0.0096238,           0.0096238,           0.0096238
                  78,            0.033653,            0.045263,           0.0049853,             0.66417,             0.42547,             0.47887,             0.30208,            0.056462,            0.025275,           0.0085908,           0.0096188,           0.0096188,           0.0096188
                  79,            0.034253,            0.047455,           0.0064064,             0.55184,             0.43462,             0.45222,             0.26635,            0.053587,            0.026205,           0.0088645,           0.0096139,           0.0096139,           0.0096139
                  80,            0.030411,            0.043425,           0.0071529,             0.61464,             0.46942,             0.48172,              0.3057,            0.054527,            0.023975,           0.0076795,            0.009609,            0.009609,            0.009609
                  81,            0.034548,            0.041387,           0.0055553,              0.5934,             0.49188,             0.50454,             0.30115,            0.050291,             0.02335,           0.0092588,            0.009604,            0.009604,            0.009604
                  82,            0.032437,             0.04535,           0.0045026,             0.52262,             0.49399,             0.50716,             0.30234,            0.048701,            0.023824,             0.00918,            0.009599,            0.009599,            0.009599
                  83,            0.033537,            0.042611,           0.0047945,             0.53369,             0.50137,             0.49264,             0.31627,            0.049238,            0.024129,            0.010446,           0.0095941,           0.0095941,           0.0095941
                  84,            0.032218,            0.040185,           0.0054556,             0.49391,             0.50719,              0.5026,             0.33579,            0.051264,            0.023502,           0.0096635,           0.0095892,           0.0095892,           0.0095892
                  85,            0.033004,            0.043724,           0.0049708,             0.58882,             0.49138,              0.5058,             0.32857,            0.049352,            0.024471,           0.0090562,           0.0095842,           0.0095842,           0.0095842
                  86,            0.030224,            0.042634,           0.0047998,             0.64194,             0.44039,             0.49883,             0.29886,            0.051443,            0.025221,            0.009976,           0.0095793,           0.0095793,           0.0095793
                  87,            0.032751,            0.040744,           0.0051997,             0.66664,             0.45135,              0.5117,              0.3438,            0.048475,            0.025882,           0.0075392,           0.0095743,           0.0095743,           0.0095743
                  88,            0.032237,            0.040587,           0.0049224,             0.60489,             0.48607,             0.51961,             0.30541,            0.053717,            0.024811,           0.0066819,           0.0095694,           0.0095694,           0.0095694
                  89,            0.035149,            0.043313,           0.0043353,              0.5949,             0.49419,             0.52078,             0.30951,            0.058507,            0.023999,           0.0064245,           0.0095644,           0.0095644,           0.0095644
                  90,            0.031783,            0.041836,           0.0042842,             0.65224,             0.49351,             0.52515,              0.2952,            0.057783,            0.025236,           0.0071257,           0.0095595,           0.0095595,           0.0095595
                  91,            0.034339,            0.041374,           0.0049805,             0.62095,             0.49191,             0.50852,             0.31305,            0.050347,            0.024605,           0.0084435,           0.0095545,           0.0095545,           0.0095545
                  92,            0.030949,            0.043564,           0.0046107,             0.61889,              0.4419,             0.51234,             0.32003,            0.049826,              0.0252,           0.0087583,           0.0095496,           0.0095496,           0.0095496
                  93,            0.032707,            0.043367,           0.0048225,             0.62457,             0.48654,               0.544,             0.32148,            0.048982,            0.025665,           0.0077798,           0.0095446,           0.0095446,           0.0095446
