               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099626,            0.034411,            0.024292,           0.0014286,             0.16667,           0.0013071,          0.00026142,            0.030926,            0.023526,            0.010665,              0.0991,              0.0001,              0.0001
                   1,            0.077178,            0.038146,            0.019588,           0.0014493,             0.16667,           0.0013266,          0.00013266,            0.030828,            0.023103,            0.010654,            0.097299,          0.00029851,          0.00029851
                   2,             0.12555,            0.036105,            0.026116,            0.004065,             0.16667,           0.0027798,          0.00027798,            0.030756,            0.022576,            0.010602,            0.095495,          0.00049505,          0.00049505
                   3,             0.10054,            0.032029,            0.022605,           0.0034209,             0.33333,           0.0029218,          0.00029218,            0.030593,            0.021946,            0.010529,             0.09369,           0.0006896,           0.0006896
                   4,            0.098717,             0.03262,            0.023425,            0.003937,             0.16667,           0.0032998,          0.00032998,            0.029901,            0.021303,            0.010466,            0.091882,          0.00088218,          0.00088218
                   5,            0.086276,            0.037223,            0.028231,            0.003937,             0.16667,           0.0035692,          0.00035692,            0.029102,            0.020609,            0.010348,            0.090073,           0.0010728,           0.0010728
                   6,            0.082759,            0.032513,            0.020192,           0.0032388,                 0.5,           0.0051928,           0.0010592,            0.027868,            0.019921,            0.010148,            0.088261,           0.0012614,           0.0012614
                   7,            0.088859,            0.048111,            0.021559,           0.0032412,                 0.5,           0.0058601,           0.0015627,            0.027016,             0.01925,           0.0098583,            0.086448,            0.001448,            0.001448
                   8,            0.085409,            0.030367,             0.02438,                   0,                   0,                   0,                   0,            0.026106,            0.018893,           0.0097039,            0.084633,           0.0016327,           0.0016327
                   9,             0.10303,            0.029705,            0.023689,                   0,                   0,                   0,                   0,             0.02497,            0.018571,           0.0094726,            0.082815,           0.0018154,           0.0018154
                  10,            0.062068,            0.039553,            0.016789,           0.0024468,                 0.5,             0.01417,           0.0046913,            0.024273,            0.018097,           0.0092664,            0.080996,            0.001996,            0.001996
                  11,             0.09835,            0.033682,            0.025331,           0.0015361,             0.33333,            0.026044,            0.010417,            0.024109,            0.017597,           0.0089883,            0.079175,           0.0021748,           0.0021748
                  12,            0.078512,            0.029516,            0.019277,           0.0042411,             0.83333,            0.023705,            0.008778,            0.022835,            0.017233,           0.0087132,            0.077352,           0.0023515,           0.0023515
                  13,            0.066008,            0.029314,            0.017706,           0.0014451,             0.16667,            0.056313,            0.019223,            0.022189,             0.01664,           0.0085126,            0.075526,           0.0025263,           0.0025263
                  14,            0.071627,            0.046805,            0.017734,            0.002603,             0.66667,            0.052099,            0.023532,            0.021187,            0.016205,           0.0083376,            0.073699,            0.002699,            0.002699
